PassengerName,FlightNumber,DepartureAirport,ArrivalAirport,FlightDate,DepartureTime,CabinClass,SeatNumber
John Doe,AA123,JFK,LAX,2025-12-01,08:15,Economy,12A
Jane Smith,BA456,LHR,CDG,2025-12-02,10:50,Business,2C
Alex Johnson,DL789,ATL,ORD,2025-12-03,13:30,Economy,18B
Maria Lopez,UA345,MEX,JFK,2025-12-04,09:40,First,1A
Robert Kim,AF567,CDG,ICN,2025-12-05,19:25,Business,4D
Laura Chen,CX908,HKG,SFO,2025-12-06,21:00,Economy,22F
David Brown,QF123,SYD,SIN,2025-12-07,15:40,Premium Economy,10A
Emma Wilson,IB890,MAD,FCO,2025-12-08,12:30,Economy,14C
Liam Davis,EK432,DXB,JFK,2025-12-09,08:00,First,1B
Sophia Green,LH987,FRA,YYZ,2025-12-10,09:15,Business,3A
